,3200,6400,12800,25600,51200,102400
100,0.0,1.986,2.007,1.998,1.985,2.012
200,1.931,2.015,2.003,1.994,2.005,2.021
400,2.008,2.017,2.01,2.001,2.004,2.005
800,1.989,2.025,2.006,2.008,2.002,2.004
1600,1.884,2.112,2.023,2.013,2.012,2.018
