,3200,6400,12800,25600,51200,102400
100,5930410,11775800,23637200,47222400,93756800,188653000
200,11452000,23394700,47111600,94066700,188276000,380799000
400,22990700,46772300,94337900,188474000,377498000,760353000
800,45730000,93669600,188611000,378668000,756824000,1519870000
1600,86159100,189599000,382550000,766032000,1531670000,3079010000
